@relation german-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6

@attribute Status-existing-account {A11,A12,A13,A14}
@attribute Duration-month {'\'(-inf-10.8]\'','\'(10.8-17.6]\'','\'(17.6-inf)\''}
@attribute Credit-history {A30,A31,A32,A33,A34}
@attribute Purpose {A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A410}
@attribute Credit-amount {'\'(-inf-2067.4]\'','\'(2067.4-3884.8]\'','\'(3884.8-5702.2]\'','\'(5702.2-7519.6]\'','\'(7519.6-9337]\'','\'(9337-11154.4]\'','\'(11154.4-inf)\''}
@attribute Savings-account {A61,A62,A63,A64,A65}
@attribute Present-employment-since {A71,A72,A73,A74,A75}
@attribute Disposable-income {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-inf)\''}
@attribute Status-and-sex {A91,A92,A93,A94,A95}
@attribute Other-debtors {A101,A102,A103}
@attribute Present-residence-since {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-inf)\''}
@attribute Property {A121,A122,A123,A124}
@attribute Age {'\'(-inf-24.6]\'','\'(24.6-30.2]\'','\'(30.2-35.8]\'','\'(35.8-41.4]\'','\'(41.4-47]\'','\'(47-52.6]\'','\'(52.6-58.2]\'','\'(58.2-inf)\''}
@attribute Other-installment-plans {A141,A142,A143}
@attribute Housing {A151,A152,A153}
@attribute Number-of-credits {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-inf)\''}
@attribute Job {A171,A172,A173,A174}
@attribute Number-people-maintaining {'\'(-inf-1.1]\'','\'(1.1-inf)\''}
@attribute Telephone {A191,A192}
@attribute Foreign {A201,A202}
@attribute Class {1,2}

@data
A11,'\'(-inf-10.8]\'',A34,A43,'\'(-inf-2067.4]\'',A65,A75,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A121,'\'(58.2-inf)\'',A143,A152,'\'(1.6-inf)\'',A173,'\'(-inf-1.1]\'',A192,A201,1
A12,'\'(17.6-inf)\'',A32,A43,'\'(5702.2-7519.6]\'',A61,A73,'\'(1.9-inf)\'',A92,A101,'\'(1.9-inf)\'',A121,'\'(-inf-24.6]\'',A143,A152,'\'(-inf-1.3]\'',A173,'\'(-inf-1.1]\'',A191,A201,2
A14,'\'(10.8-17.6]\'',A34,A46,'\'(2067.4-3884.8]\'',A61,A74,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A121,'\'(47-52.6]\'',A143,A152,'\'(-inf-1.3]\'',A172,'\'(1.1-inf)\'',A191,A201,1
A11,'\'(17.6-inf)\'',A32,A42,'\'(7519.6-9337]\'',A61,A74,'\'(1.9-inf)\'',A93,A103,'\'(1.9-inf)\'',A122,'\'(41.4-47]\'',A143,A153,'\'(-inf-1.3]\'',A173,'\'(1.1-inf)\'',A191,A201,1
A11,'\'(17.6-inf)\'',A33,A40,'\'(3884.8-5702.2]\'',A61,A73,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A124,'\'(52.6-58.2]\'',A143,A153,'\'(1.6-inf)\'',A173,'\'(1.1-inf)\'',A191,A201,2
A14,'\'(17.6-inf)\'',A32,A46,'\'(7519.6-9337]\'',A65,A73,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A124,'\'(30.2-35.8]\'',A143,A153,'\'(-inf-1.3]\'',A172,'\'(1.1-inf)\'',A192,A201,1
A14,'\'(17.6-inf)\'',A32,A42,'\'(2067.4-3884.8]\'',A63,A75,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A122,'\'(52.6-58.2]\'',A143,A152,'\'(-inf-1.3]\'',A173,'\'(-inf-1.1]\'',A191,A201,1
A12,'\'(17.6-inf)\'',A32,A41,'\'(5702.2-7519.6]\'',A61,A73,'\'(1.9-inf)\'',A93,A101,'\'(1.9-inf)\'',A123,'\'(30.2-35.8]\'',A143,A151,'\'(-inf-1.3]\'',A174,'\'(-inf-1.1]\'',A192,A201,1
A14,'\'(10.8-17.6]\'',A32,A43,'\'(2067.4-3884.8]\'',A64,A74,'\'(1.9-inf)\'',A91,A101,'\'(1.9-inf)\'',A121,'\'(58.2-inf)\'',A143,A152,'\'(-inf-1.3]\'',A172,'\'(-inf-1.1]\'',A191,A201,1
A12,'\'(17.6-inf)\'',A34,A40,'\'(3884.8-5702.2]\'',A61,A71,'\'(1.9-inf)\'',A94,A101,'\'(1.9-inf)\'',A123,'\'(24.6-30.2]\'',A143,A152,'\'(1.6-inf)\'',A174,'\'(-inf-1.1]\'',A191,A201,2
