3,Private,4,Masters,6,Never-married,Prof-specialty,Not-in-family,White,Female,4,4,7,United-States,less
3,Private,4,Some-college,3,Divorced,Machine-op-inspct,Unmarried,White,Female,1,1,1,United-States,less
1,Private,18,Some-college,4,Never-married,Other-service,Own-child,White,Female,6,5,1,United-States,less
7,Self-emp-not-inc,2,Some-college,3,Married-civ-spouse,Craft-repair,Husband,White,Male,2,2,3,United-States,less
5,Private,5,HS-grad,2,Married-civ-spouse,Transport-moving,Husband,White,Male,3,3,4,United-States,less
4,Private,18,HS-grad,3,Never-married,Craft-repair,Own-child,White,Male,8,8,6,United-States,less
7,State-gov,5,Some-college,4,Divorced,Adm-clerical,Not-in-family,White,Female,7,6,7,United-States,less
6,Private,2,HS-grad,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,7,8,United-States,less
4,Private,4,HS-grad,2,Divorced,Protective-serv,Not-in-family,White,Male,3,3,9,United-States,less
1,Private,12,HS-grad,3,Never-married,Other-service,Not-in-family,Black,Female,8,7,2,United-States,less
3,Private,1,Bachelors,5,Never-married,Tech-support,Not-in-family,White,Female,4,4,9,United-States,less
7,Private,9,12th,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,9,8,6,United-States,less
1,Private,20,Some-college,4,Never-married,Adm-clerical,Own-child,White,Female,2,2,2,United-States,less
1,State-gov,1,Some-college,4,Married-civ-spouse,Adm-clerical,Wife,White,Female,7,6,1,United-States,less
3,Private,1,HS-grad,2,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,6,6,5,United-States,less
5,Private,6,Bachelors,6,Never-married,Prof-specialty,Not-in-family,White,Female,10,9,1,United-States,less
1,Private,18,Some-college,3,Never-married,Other-service,Own-child,Black,Male,1,1,2,United-States,less
4,Private,9,10th,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,8,7,2,United-States,less
1,Private,4,Some-college,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,5,7,United-States,less
2,Self-emp-not-inc,17,HS-grad,3,Never-married,Farming-fishing,Own-child,White,Male,7,7,6,United-States,less
3,Private,16,Bachelors,6,Never-married,Sales,Not-in-family,White,Male,6,5,5,United-States,less
5,Self-emp-not-inc,1,HS-grad,2,Never-married,Farming-fishing,Not-in-family,White,Male,4,3,9,United-States,less
4,Self-emp-not-inc,5,HS-grad,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,2,8,United-States,less
1,Private,14,11th,1,Never-married,Craft-repair,Own-child,White,Male,4,4,7,United-States,less
3,Private,5,Assoc-voc,5,Never-married,Handlers-cleaners,Own-child,White,Male,2,2,7,United-States,less
6,Private,6,Some-college,4,Divorced,Sales,Unmarried,White,Male,9,8,9,United-States,less
6,Local-gov,4,Assoc-acdm,5,Married-civ-spouse,Protective-serv,Husband,White,Male,6,5,5,United-States,less
1,Private,12,Some-college,4,Never-married,Other-service,Own-child,White,Male,9,9,2,United-States,less
4,Private,18,Bachelors,5,Married-civ-spouse,Sales,Husband,White,Male,1,1,3,United-States,less
9,Private,7,10th,1,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,6,6,8,United-States,less
8,Local-gov,4,HS-grad,2,Married-civ-spouse,Transport-moving,Husband,White,Male,4,4,4,United-States,less
4,Self-emp-not-inc,18,HS-grad,2,Married-civ-spouse,Transport-moving,Husband,White,Male,5,4,7,United-States,less
2,Private,1,Assoc-voc,5,Never-married,Other-service,Not-in-family,White,Male,3,3,4,United-States,less
8,Private,20,Assoc-acdm,5,Never-married,Adm-clerical,Unmarried,Black,Female,2,2,3,United-States,less
1,Private,13,HS-grad,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,8,8,1,United-States,less
1,Private,14,9th,1,Never-married,Other-service,Own-child,Black,Male,6,6,2,United-States,less
7,Private,2,Some-college,4,Married-civ-spouse,Craft-repair,Husband,White,Male,5,5,5,United-States,less
7,Private,14,Assoc-voc,5,Separated,Prof-specialty,Not-in-family,White,Female,4,4,4,Dominican-Republic,less
1,Local-gov,15,11th,1,Never-married,Handlers-cleaners,Other-relative,White,Male,7,6,2,United-States,less
5,Self-emp-not-inc,17,HS-grad,2,Married-civ-spouse,Craft-repair,Husband,White,Male,10,2,3,United-States,less
5,Private,12,HS-grad,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,9,8,7,United-States,less
5,Private,17,HS-grad,2,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,2,2,3,United-States,less
3,Private,6,HS-grad,2,Never-married,Handlers-cleaners,Not-in-family,Black,Female,6,5,5,United-States,less
1,Private,18,11th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,3,3,9,United-States,less
9,Local-gov,13,Assoc-voc,5,Married-civ-spouse,Other-service,Husband,White,Male,5,5,5,United-States,less
5,Private,4,Assoc-voc,5,Never-married,Craft-repair,Own-child,White,Male,2,2,3,United-States,less
4,Private,3,Assoc-acdm,5,Married-civ-spouse,Tech-support,Husband,White,Male,4,9,1,United-States,less
6,State-gov,2,Masters,6,Never-married,Prof-specialty,Not-in-family,White,Female,1,1,9,United-States,less
2,Private,2,Bachelors,5,Never-married,Prof-specialty,Not-in-family,White,Female,5,4,1,United-States,less
5,Federal-gov,14,Assoc-acdm,5,Never-married,Adm-clerical,Unmarried,White,Female,7,7,6,United-States,less
7,Private,10,1st-4th,1,Married-civ-spouse,Transport-moving,Wife,White,Female,10,6,9,United-States,less
1,Private,1,Assoc-acdm,5,Never-married,Sales,Own-child,White,Female,5,5,5,United-States,less
1,Private,16,11th,1,Never-married,Sales,Own-child,White,Female,6,5,2,United-States,less
1,Private,14,Bachelors,5,Never-married,Sales,Other-relative,Black,Female,2,2,2,United-States,less
5,Private,6,Bachelors,5,Married-civ-spouse,Sales,Husband,White,Male,10,1,3,United-States,less
8,Private,10,Masters,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,7,2,United-States,less
1,Private,16,HS-grad,2,Never-married,Sales,Not-in-family,White,Female,6,5,2,United-States,less
1,Self-emp-inc,4,Some-college,4,Never-married,Farming-fishing,Own-child,White,Male,7,7,9,United-States,less
1,Private,8,9th,1,Never-married,Farming-fishing,Own-child,Black,Male,8,8,1,United-States,less
5,Private,19,Some-college,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,2,2,3,United-States,less
8,Self-emp-not-inc,13,Some-college,3,Married-civ-spouse,Sales,Wife,White,Female,2,2,8,United-States,less
7,Private,5,Assoc-voc,5,Married-civ-spouse,Transport-moving,Wife,White,Female,6,6,1,United-States,less
9,State-gov,7,HS-grad,2,Married-spouse-absent,Other-service,Unmarried,Black,Female,2,2,3,Honduras,less
1,Private,6,Some-college,4,Never-married,Machine-op-inspct,Own-child,White,Male,3,3,1,United-States,less
6,Private,18,Some-college,4,Divorced,Sales,Unmarried,White,Male,5,5,5,United-States,less
4,Private,11,Bachelors,6,Never-married,Prof-specialty,Not-in-family,Black,Female,7,7,6,United-States,less
1,Private,1,HS-grad,3,Never-married,Other-service,Own-child,White,Female,7,7,2,United-States,less
7,Private,19,Some-college,4,Separated,Other-service,Unmarried,White,Female,7,6,5,United-States,less
3,Private,20,HS-grad,3,Married-civ-spouse,Craft-repair,Husband,Black,Male,8,8,6,United-States,less
2,Private,11,HS-grad,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,3,4,United-States,less
3,Local-gov,16,Some-college,4,Divorced,Adm-clerical,Not-in-family,White,Female,3,3,4,United-States,less
5,Private,17,HS-grad,2,Never-married,Other-service,Unmarried,White,Female,4,4,4,United-States,less
3,Local-gov,3,Bachelors,5,Separated,Prof-specialty,Not-in-family,White,Female,1,1,3,United-States,less
9,Local-gov,11,7th-8th,1,Widowed,Adm-clerical,Not-in-family,White,Female,8,8,6,United-States,less
1,Private,2,HS-grad,3,Never-married,Other-service,Not-in-family,White,Female,9,8,6,United-States,less
1,Private,19,Some-college,4,Married-civ-spouse,Adm-clerical,Wife,White,Female,3,3,4,United-States,less
1,Private,20,10th,1,Never-married,Other-service,Not-in-family,White,Female,4,4,2,United-States,less
2,Private,12,Some-college,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,4,4,United-States,less
4,Private,20,Bachelors,5,Never-married,Exec-managerial,Not-in-family,White,Male,5,5,5,United-States,less
1,Private,12,11th,1,Never-married,Prof-specialty,Own-child,White,Female,7,7,1,United-States,less
6,Self-emp-not-inc,17,Some-college,4,Married-civ-spouse,Craft-repair,Husband,White,Male,7,6,8,United-States,less
9,Self-emp-not-inc,16,HS-grad,2,Married-civ-spouse,Other-service,Husband,Black,Male,6,5,1,United-States,less
3,Private,10,HS-grad,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,8,6,United-States,less
2,Private,3,Some-college,4,Never-married,Adm-clerical,Unmarried,Black,Female,8,8,6,United-States,less
3,Local-gov,20,HS-grad,3,Never-married,Adm-clerical,Other-relative,White,Male,6,6,1,United-States,less
